省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,长江流域,淅川高湾(高湾),04-01 04:00,Ⅰ,17.4,7.82,9.12,426.7,3.9,1.52,0.138,0.011,1.35,0.005,*,正常
河南省,长江流域,淅川高湾(高湾),04-01 12:00,Ⅰ,17.3,7.74,9.17,464.7,2.6,1.41,0.148,0.011,1.45,0.004,*,正常
河南省,长江流域,淅川高湾(高湾),04-01 12:00,Ⅰ,17.3,7.74,9.17,464.7,2.6,1.41,0.148,0.011,1.45,0.004,*,正常
河南省,长江流域,淅川高湾(高湾),04-01 16:00,Ⅱ,17.3,7.76,9.19,462.5,2.1,1.43,0.153,0.012,1.43,0.003,*,正常
河南省,长江流域,淅川高湾(高湾),04-01 20:00,Ⅰ,17.1,7.75,8.88,459.0,2.0,1.64,0.150,0.012,1.59,0.003,*,正常
河南省,长江流域,淅川高湾(高湾),04-01 20:00,Ⅰ,17.1,7.75,8.88,459.0,2.0,1.64,0.150,0.012,1.59,0.003,*,正常
河南省,长江流域,淅川高湾(高湾),04-02 04:00,Ⅱ,16.8,7.76,8.85,459.9,2.3,1.50,0.152,0.011,1.38,0.004,*,正常
河南省,长江流域,淅川高湾(高湾),04-02 08:00,Ⅱ,16.8,7.69,8.89,465.9,5.8,1.44,0.173,0.013,1.43,0.008,*,正常
河南省,长江流域,淅川高湾(高湾),04-02 12:00,Ⅱ,16.8,7.67,8.97,470.1,3.4,1.55,0.160,0.014,1.42,0.004,*,正常
河南省,长江流域,淅川高湾(高湾),04-02 16:00,Ⅱ,16.8,7.72,9.07,464.9,4.6,1.48,0.167,0.016,1.49,0.002,*,正常
河南省,长江流域,淅川高湾(高湾),04-02 20:00,Ⅱ,16.6,7.71,8.78,464.9,1.5,1.37,0.170,0.014,1.47,0.002,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 00:00,Ⅱ,16.5,7.70,8.66,466.6,1.4,1.41,0.171,0.013,1.48,0.002,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 04:00,Ⅱ,16.4,7.71,8.90,459.3,3.6,1.42,0.153,0.013,1.47,0.003,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 08:00,Ⅱ,16.4,7.68,8.85,464.4,9.4,1.61,0.173,0.015,1.40,0.005,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 08:00,Ⅱ,16.4,7.68,8.85,464.4,9.4,1.61,0.173,0.015,1.40,0.005,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 16:00,Ⅱ,16.2,7.66,9.16,466.0,2.9,1.79,0.189,0.016,1.76,0.004,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 20:00,Ⅱ,16.3,7.66,9.01,458.5,2.3,1.67,0.185,0.015,1.82,0.002,*,正常
河南省,长江流域,淅川高湾(高湾),04-03 20:00,Ⅱ,16.3,7.66,9.01,458.5,2.3,1.67,0.185,0.015,1.82,0.002,*,正常
